"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option1 Linked To","Option2 Name","Option2 Value","Option2 Linked To","Option3 Name","Option3 Value","Option3 Linked To","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / United States","Price / United States","Compare At Price / United States","Included / International","Price / International","Compare At Price / International","Status"
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","مجموعة 65 قطعة من اكسسوارات الشعر بما في ذلك دبابيس الشعر وربطات الشعر وأشرطة الشعر وكبسات الشعر البسيطة والزينات الشعرية الشائعة، كافية لاستخدام لمدة عام، مناسبة لعيد الحب، الأشياء المدرسية، الهدايا","<div><div class=""product-info""><div class=""product-info-node""><span>أسلوب:</span><strong style=""margin-left: 5px;"">كاجوال</strong></div><div class=""product-info-node""><span>تفاصيل:</span><strong style=""margin-left: 5px;"">عقدة الفراشة</strong></div><div class=""product-info-node""><span>عنصر:</span><strong style=""margin-left: 5px;"">تصميم الهندسة</strong></div><div class=""product-info-node""><span>أصناف التصميم:</span><strong style=""margin-left: 5px;"">تصميم الهندسة</strong></div><div class=""product-info-node""><span>تحتوي على البطاريات:</span><strong style=""margin-left: 5px;"">لا</strong></div><div class=""product-info-node""><span>موسم:</span><strong style=""margin-left: 5px;"">كلها</strong></div><div class=""product-info-node""><span>مزود الطاقة:</span><strong style=""margin-left: 5px;"">لا أحد</strong></div><div class=""product-info-node""><span>لون:</span><strong style=""margin-left: 5px;"">متعدد الألوان</strong></div><div class=""product-info-node""><span>نوع:</span><strong style=""margin-left: 5px;"">أطقم إكسسوارات الشعر</strong></div><div class=""product-info-node""><span>المواد:</span><strong style=""margin-left: 5px;"">البوليستر</strong></div><div class=""product-info-node""><span>تكوين:</span><strong style=""margin-left: 5px;"">100% البوليستر</strong></div></div></div>","Elva's Jewelry","","أطقم إكسسوارات الشعر","",true,"Color","Color-33410343","","نوع الموديلات","مجموعة 75 قطعة","","مقاس","مقاس واحد","","","","","","deny","manual","25.48","26.00","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/17126523603d947dfc45a4a27cfe5bf0dd5d900f0a.jpg",1,"","","","","","","","","","","","","","","","","","","","","","","","","","active"
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","Color-158776673","","","مجموعة 75 قطعة","","","مقاس واحد","","","","","","deny","manual","28.25","29.00","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/17126523607f84a586ccb05edb4012b5d3fe0de975.jpg",2,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/54/1712652359b5929cb370c652f7fc4e644ab2bd2434.jpg",3,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/1712652360c451c032cef939558e84420d4c997580.jpg",4,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/54/171265235937df27dbfbf99cbddeedd06e162dee0b.jpg",5,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/4e/1712652360c921877e9eb766c702673bae2117073a.jpg",6,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/04/09/54/17126523594b083c8ac4ef6af8a0e4421c19bf11d8.jpg",7,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/63/172119656266a0bc823c1885b36215828f5fbf8614.jpg",8,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/29/172119659865b21eaeea612192b6742816e42e779f.jpg",9,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"mjmwah-65-qtah-mn-aksswarat-alshar-bma-fy-thlk-dbabys-alshar-wrbtat-alshar-washrth-alshar-wkbsat-alshar-albsyth-walzynat-alsharyh-alshaeah،-kafyh-lastkhdam-lmdh-aam،-mnasbh-layd-alhb،-alashyaa-almdrsyh،-alhdaya-c24040961226","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://img.ltwebstatic.com/images3_spmp/2024/07/17/29/1721196598da10c1ac337cb42104b4578c9f63101a.jpg",10,"","","","","","","","","","","","","","","","","","","","","","","","","",""
